Occupation score,Occupation score adjusted,Colby score,first_name,last_name,urls,args,label
7.0,1.75,0.0,Eric,Rosengren,['http://www.foxbusiness.com/features/2017/06/27/bond-investing-conundrum-returns.html'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.chaffeybreeze.com/2017/06/13/david-pulver-purchases-1000-shares-of-carters-inc-cri-stock-updated-updated.html'],[0.],1
0.0,0.0,0.0,Jim,Crook,['https://www.colby.edu/news/2017/06/01/generous-gift-names-basketball-arena-in-new-colby-athletic-complex/'],[0.],1
4.0,0.3076923076923077,0.0,Bob,Diamond,['https://www.theguardian.com/business/2017/may/28/bob-diamond-atlas-mara-beard-agm'],[0.],1
2.0,0.15384615384615385,0.0,Bob,Diamond,['https://therealdeal.com/2017/05/26/hong-kong-banker-is-buyer-of-bob-diamonds-50m-ph/'],[0.],1
0.0,0.0,0.0,David,Pulver,['https://www.thecerbatgem.com/2017/05/25/carters-inc-cri-director-david-pulver-buys-1000-shares.html'],[0.],1
2.0,0.15384615384615385,0.0,Bob,Diamond,['https://jingdaily.com/chinese-buyer-drops-50-million-bob-diamonds-new-york-city-penthouse/'],[0.],1
8.0,1.1428571428571428,0.0,Kirk,Koenigsbauer,['https://www.onmsft.com/news/satya-nadella-judson-althoff-and-kirk-koenigsbauer-will-keynote-microsoft-inspire-this-july'],[0.],1
10.0,0.8333333333333334,0.0,Paula,Lunder,['http://cambridge.wickedlocal.com/news/20170524/lesley-universitys-lunder-arts-center-recognized-by-preservation-massachusetts'],[0.],1
1.0,0.07692307692307693,0.0,Bob,Diamond,['https://www.fnlondon.com/articles/bob-diamond-finds-a-sweet-spot-with-vanilla-trading-business-20170523'],[0.],1
34.0,2.6153846153846154,1.0,Pete,Rouse,['http://time.com/4787983/joe-biden-colby-college-commencement-transcript/'],[0.],1
5.0,0.38461538461538464,1.0,Amy,Walter,['https://www.colby.edu/news/2017/05/20/amy-walter-advises-colby-seniors-to-define-what-matters/'],[0.],1
2.0,0.15384615384615385,0.0,Bob,Diamond,['http://www.wealthx.com/articles/2017/ex-barclays-ceo-bob-diamond-finds-buyer-for-manhattan-penthouse/'],[0.],1
5.0,0.625,0.0,Robert,Burke,['https://www.ouraynews.com/articles/2017/05/18/james-robert-burke'],[0.],1
6.0,1.5,0.0,Eric,Rosengren,['http://wpri.com/2017/05/18/fewer-working-age-rhode-islanders-had-a-job-in-2016/'],[0.],1
2.0,0.15384615384615385,0.0,Bob,Diamond,['https://therealdeal.com/2017/05/17/unknown-buyer-shells-out-50m-for-bob-diamonds-15-cpw-penthouse/'],[0.],1
0.0,0.0,0.0,Kevin,Starr,['https://baseballnewssource.com/markets/cytomx-therapeutics-inc-ctmx-major-shareholder-kevin-p-starr-sells-28357-shares-of-stock-updated-updated-updated/613347.html'],[0.],1
0.0,0.0,0.0,Bernard,Osher,['http://www.pressdemocrat.com/opinion/6997193-181/thumbs-up-a-gift-for'],[0.],1
18.0,1.3846153846153846,0.0,Amy,Walter,['http://www.pbs.org/newshour/bb/white-house-drama-hurting-trumps-agenda/'],[0.],1
5.0,0.29411764705882354,0.0,Andrew,Davis,['https://www.abqjournal.com/1002287/25-new-mexico-students-get-fullride-college-scholarships.html'],[0.],1
12.0,0.9230769230769232,0.0,Amy,Walter,['http://mainepublic.org/post/city-arts-lectures-6'],[0.],1
3.0,0.375,0.0,Bill,Alfond,['http://www.mainebiz.biz/article/20170511/NEWS01/170519989'],[0.],1
0.0,0.0,0.0,Paul,Spillane,['http://www.voxy.co.nz/business/5/282398'],[0.],1
26.0,3.7142857142857135,0.0,Kirk,Koenigsbauer,['https://blogs.office.com/2017/05/10/office-at-build-2017-announcing-new-opportunities-for-developers/'],[0.],1
4.0,0.5,1.0,Bill,Alfond,['http://www.centralmaine.com/2017/05/10/thomas-college-receives-grant-from-alfond-foundation-for-business-institute/'],[0.],1
6.5,1.625,0.0,Eric,Rosengren,"['https://www.bloomberg.com/news/articles/2017-05-10/fed-s-rosengren-favors-three-more-2017-hikes-to-foil-overheating', 'http://uk.reuters.com/article/usa-fed-rosengren-idUKL1N1IB0QH']",[0.],1
0.0,0.0,0.0,Bernard,Osher,['http://news.uark.edu/articles/38756/osher-lifelong-learning-institute-receives-grant-matching-gift-challenge'],[0.],1
4.0,0.3076923076923077,1.0,Amy,Walter,['http://www.colby.edu/news/2017/05/09/colby-to-hold-196th-commencement-vice-president-joe-biden-and-political-analyst-amy-walter-to-address-graduates/'],[0.],1
6.5,1.625,0.0,Eric,Rosengren,"['http://www.marketwatch.com/story/feds-rosengren-warns-that-fannie-freddie-reform-could-roil-commercial-real-estate-market-2017-05-09', 'https://www.bloomberg.com/news/articles/2017-05-09/fed-won-t-sink-mortgage-market-as-balance-sheet-slims-rosengren']",[0.],1
